iter	Logloss
0	0.6906725925
1	0.6884294533
2	0.6858924346
3	0.6836729427
4	0.68106024
5	0.6789622688
6	0.6763226643
7	0.6741339888
8	0.6716582342
9	0.6694100822
10	0.6675173475
11	0.6657952269
12	0.6633703268
13	0.6611732483
14	0.6596132234
15	0.6573747569
16	0.6551055001
17	0.6532572863
18	0.6509909512
19	0.6489147959
20	0.6473262853
21	0.6456852412
22	0.6443511951
23	0.642763795
24	0.6408664744
25	0.6387692675
26	0.6369948246
27	0.6353783614
28	0.6336972644
29	0.6320212638
30	0.6303520638
31	0.6287348106
32	0.6275465614
33	0.625850797
34	0.6243048088
35	0.6225153288
36	0.6211226029
37	0.6192218116
38	0.6177737075
39	0.616233405
40	0.6149462956
41	0.6133553593
42	0.6117841931
43	0.6105399486
44	0.609447836
45	0.6083372241
46	0.6068515719
47	0.6055753459
48	0.6043093431
49	0.6028134037
50	0.6016031411
51	0.6003571422
52	0.5992799773
53	0.5981827758
54	0.5970310259
55	0.5958842324
56	0.5946088422
57	0.5935388268
58	0.592274792
59	0.5913378009
60	0.5900787238
61	0.5889900162
62	0.588026378
63	0.5870502389
64	0.5859014741
65	0.584820244
66	0.5837384465
67	0.5824608832
68	0.5812350007
69	0.5801219215
70	0.5791415136
71	0.5783030338
72	0.5769739385
73	0.5760328941
74	0.5751174329
75	0.5740934443
76	0.5730184208
77	0.5721800024
78	0.5711688158
79	0.5702937746
80	0.5695097016
81	0.568833364
82	0.5678878128
83	0.5668182149
84	0.5659708835
85	0.5650298263
86	0.5642370571
87	0.5633694543
88	0.562566687
89	0.5618043243
90	0.5609493841
91	0.5600662047
92	0.5592949345
93	0.5585013955
94	0.5574930715
95	0.5566966268
96	0.5560077556
97	0.5550758603
98	0.5543382367
99	0.5534931067
100	0.5528572278
101	0.5522110054
102	0.5513666149
103	0.5504915308
104	0.5498631587
105	0.5491689076
106	0.5483584948
107	0.547884606
108	0.5472302724
109	0.5464982069
110	0.5459161427
111	0.5451448033
112	0.5443751292
113	0.543910264
114	0.5433475828
115	0.5425434069
116	0.5419087877
117	0.5413725629
118	0.5404906965
119	0.539836453
120	0.5393197199
121	0.5388126288
122	0.5381704936
123	0.5375806794
124	0.5370611232
125	0.536248697
126	0.5355559661
127	0.5347902847
128	0.5341499621
129	0.5335150923
130	0.5328542381
131	0.5322694974
132	0.5317413166
133	0.5312061555
134	0.5306514871
135	0.5301335963
136	0.5296268515
137	0.529018146
138	0.5285047066
139	0.5279423289
140	0.5274527735
141	0.5270059622
142	0.5265208619
143	0.5259410516
144	0.5253251997
145	0.5247451341
146	0.5243072215
147	0.5238088037
148	0.5232453395
149	0.5228944197
150	0.5223765532
151	0.5219445019
152	0.5216269585
153	0.5211177122
154	0.5204152257
155	0.5197929957
156	0.5192353326
157	0.5186313435
158	0.5181042138
159	0.5176672074
160	0.5172252512
161	0.516640356
162	0.5161060095
163	0.5156602664
164	0.5152196506
165	0.5148750749
166	0.5144481855
167	0.5139669514
168	0.5134875589
169	0.5129624001
170	0.5125965026
171	0.512267811
172	0.5118306017
173	0.5113875159
174	0.5108485914
175	0.5104682094
176	0.5100356725
177	0.5096198877
178	0.5091187761
179	0.5087294063
180	0.508121642
181	0.5076597277
182	0.5072013087
183	0.5066666223
184	0.5062384775
185	0.5057342366
186	0.5053317638
187	0.5049580291
188	0.5045488147
189	0.504018264
190	0.5034393423
191	0.5030449235
192	0.5026919903
193	0.5023058561
194	0.5017554574
195	0.5013899074
196	0.5010188464
197	0.5005917538
198	0.5001846407
199	0.4997863779
200	0.4993391892
201	0.4988415654
202	0.4985498838
203	0.4981318825
204	0.4975807757
205	0.4972237056
206	0.4967823365
207	0.4963679991
208	0.4959176954
209	0.4955428938
210	0.4951564191
211	0.4946720458
212	0.4943163201
213	0.4940083154
214	0.493587705
215	0.4931371973
216	0.4927845561
217	0.492372768
218	0.4921946841
219	0.4917636914
220	0.4913283863
221	0.4909600141
222	0.4906687184
223	0.4903540647
224	0.4899562357
225	0.489541709
226	0.4891547665
227	0.4889128665
228	0.4885480149
229	0.4881832526
230	0.4878709234
231	0.4874804447
232	0.4871118981
233	0.4867893031
234	0.4864157156
235	0.4861239225
236	0.4857812827
237	0.4853465093
238	0.4849737923
239	0.4845631608
240	0.4842035989
241	0.48386052
242	0.4835408023
243	0.4832406062
244	0.482907365
245	0.482659617
246	0.4823999212
247	0.482052095
